ESTADOS,CASOS
LOS LAURELES,10001
LA MAGDALENA,10002
EL UVAL RURAL,10003
PALO BLANCO,10004
POTRERILLO,10005
BANCO CENTRAL,10006
HOYA TEUSACA,10007
LA ESTANZUELA,10008
LAS NIEVES,10009
ARBORIZADORA ALTA,10010
BARCELONA SUR,10011
LA CAPUCHINA,10012
SAN JOAQUIN,10013
BOLIVIA,10014
JIMENEZ DE QUESADA II SECTOR,10015
RAIZAL,10016
LA REQUILINA RURAL,10017
CIUDAD BACHUE II,10018
LA UNION URBANO,10019
LAS PALMAS,10020
LOS RIOS,10021
BARRANCAS,10022
QUINTA RAMOS,10023
EL MIRADOR,10024
PARAMO I,10025
PASQUILLITA,10026
SIERRA MORENA II,10027
TIBAQUE URBANO,10028
CHAPINERO OCCIDENTAL,10029
LOMBARDIA,10030
QUIBA ALTO,10031
LA CANDELARIA,10032
BARRANCAS ORIENTAL RURAL,10033
ALTOS DEL ZUQUE,10034
LA SABANA,10035
SIBERIA,10036
MOCHUELO ALTO RURAL,10037
JARDIN BOTANICO,10038
ONCE DE NOVIEMBRE,10039
LOS ANDES,10040
CIUDAD LONDRES,10041
OLARTE,10042
CATALINA II,10043
SENA,10044
SAN RAFAEL INDUSTRIAL,10045
BAQUERO,10046
PAULO VI,10047
SAN FRANCISCO,10048
QUIBA BAJO,10049
BARRANCAS ORIENTAL,10050
LOS ARRAYANES,10051
TUNA RURAL,10052
CIUDAD BERNA,10053
LAS MARGARITAS,10054
LA ESMERALDA,10055
PASQUILLA URBANA,10056
BUENOS AIRES,10057
ANTIGUO COUNTRY,10058
SEGUNDO CONTADOR,10059
CORREDOR FERREO DEL SUR,10060
CLUB DE LOS LAGARTOS,10061
PORCIUNCULA,10062
CIUDAD KENNEDY SUR,10063
MODELIA OCCIDENTAL,10064
KASANDRA,10065
VILLEMAR,10066
SAN JUAN,10067
EL PROGRESO,10068
GRAN AMERICA,10069
SANTA MARIA,10070
PASADENA,10071
SEVILLA,10072
DELMONTE,10073
LAS MERCEDES I,10074
EL CARMEN FONTIBON,10075
VELODROMO,10076
NUEVA DELHI,10077
CORDOBA,10078
GUACAMAYAS II,10079
TINTALITO,10080
SANTA ROSA ALTA,10081
EL TABACO,10082
EL ISTMO,10083
SAUCEDAL,10084
EL VERGEL,10085
GRAN YOMASA,10086
PEPINITOS,10087
BOCHICA,10088
EL CHARCO,10089
EL SALITRE,10090
PENALISA,10091
TUNAL BAJO,10092
SANTA TERESITA,10093
SAN BERNARDINO RURAL,10094
SAMORE,10095
PRADO PINZON,10096
EL REMANSO,10097
CIUDAD KENNEDY CENTRAL,10098
SIBERIA RURAL,10099
CAPELLANIA,10100
ESCUELA DE CABALLERIA II,10101
CENTRO USME URBANO,10102
CURUBITAL,10103
ESTACION CENTRAL,10104
LAS VIOLETAS RURAL,10105
TIMIZA,10106
LA AURORA,10107
PUEBLO VIEJO,10108
GUACAMAYAS IV,10109
VOTO NACIONAL,10110
LA RIVIERA,10111
PARAMO IV,10112
COSTA AZUL,10113
EL VERGEL ORIENTAL,10114
PROVIVIENDA ORIENTAL,10115
LA UNION,10116
TEJAR,10117
PASQUILLA,10118
ORTEZAL,10119
SAN IGNACIO,10120
NUEVA GRANADA BOSA,10121
PARIS,10122
PARQUE NACIONAL ORIENTAL,10123
CIUDAD BACHUE I ETAPA,10124
COLON,10125
VILLA EMMA,10126
EL NUEVO PORTAL II,10127
LA FRAGUITA,10128
SAN ANTONIO URBANO,10129
FLORENCIA,10130
BOSQUE POPULAR,10131
MANDALAY,10132
BELLA FLOR SUR RURAL,10133
NORMANDIA,10134
LA CABRERA,10135
EL BAGAZAL,10136
EL REFUGIO,10137
MUEQUETA,10138
INTERINDUSTRIAL,10139
SANTA ROSA,10140
LAS MERCEDES,10141
LA REGADERA,10142
SANTA BARBARA,10143
EL HATO,10144
SAN BENITO,10145
ARRAYAN,10146
LAS FERIAS,10147
CHICO NORTE III SECTOR,10148
LOS NARANJOS,10149
EL BOSQUE SUR ORIENTAL RURAL I,10150
LA PRADERA,10151
DOCE DE OCTUBRE,10152
