code,neighborhood,sampl
004575,LOS LAURELES,5
006524,LA MAGDALENA,5
102502,EL UVAL RURAL,2
005501,PALO BLANCO,9
009240,POTRERILLO,5
007208,BANCO CENTRAL,1
101201,HOYA TEUSACA,4
004104,LA ESTANZUELA,6
003102,LAS NIEVES,6
002568,ARBORIZADORA ALTA,4
001424,BARCELONA SUR,4
003108,LA CAPUCHINA,1
005509,SAN JOAQUIN,6
005622,BOLIVIA,3
004586,JIMENEZ DE QUESADA II SECTOR,8
103205,RAIZAL,9
102122,LA REQUILINA RURAL,2
005682,CIUDAD BACHUE II,6
209106,LA UNION URBANO,7
103107,LAS PALMAS,3
103108,LOS RIOS,4
008507,BARRANCAS,3
001206,QUINTA RAMOS,7
002570,EL MIRADOR,9
108109,PARAMO I,7
104102,PASQUILLITA,9
002444,SIERRA MORENA II,1
001116,TIBAQUE URBANO,7
007203,CHAPINERO OCCIDENTAL,3
009228,LOMBARDIA,2
104114,QUIBA ALTO,5
009141,LA CANDELARIA,7
108103,BARRANCAS ORIENTAL RURAL,2
001331,ALTOS DEL ZUQUE,9
004102,LA SABANA,10
101502,SIBERIA,6
104131,MOCHUELO ALTO RURAL,3
005506,JARDIN BOTANICO,1
007405,ONCE DE NOVIEMBRE,1
102114,LOS ANDES,3
001349,CIUDAD LONDRES,9
102707,OLARTE,6
004540,CATALINA II,1
002106,SENA,3
004301,SAN RAFAEL INDUSTRIAL,5
007306,BAQUERO,9
005113,PAULO VI,5
004206,SAN FRANCISCO,2
104110,QUIBA BAJO,10
208103,BARRANCAS ORIENTAL,4
102111,LOS ARRAYANES,7
107106,TUNA RURAL,9
001202,CIUDAD BERNA,4
008530,LAS MARGARITAS,3
005111,LA ESMERALDA,3
204104,PASQUILLA URBANA,10
001102,BUENOS AIRES,10
008314,ANTIGUO COUNTRY,2
008424,SEGUNDO CONTADOR,5
004572,CORREDOR FERREO DEL SUR,1
009121,CLUB DE LOS LAGARTOS,9
008306,PORCIUNCULA,8
004507,CIUDAD KENNEDY SUR,10
006312,MODELIA OCCIDENTAL,8
006532,KASANDRA,9
006406,VILLEMAR,0
109104,SAN JUAN,7
004111,EL PROGRESO,8
006202,GRAN AMERICA,9
005602,SANTA MARIA,9
009125,PASADENA,7
001201,SEVILLA,0
009246,DELMONTE,0
009243,LAS MERCEDES I,2
006408,EL CARMEN FONTIBON,1
001114,VELODROMO,5
001323,NUEVA DELHI,10
001303,CORDOBA,6
001352,GUACAMAYAS II,1
004617,TINTALITO,10
103101,SANTA ROSA ALTA,10
103203,EL TABACO,9
103202,EL ISTMO,6
004560,SAUCEDAL,3
006528,EL VERGEL,8
002506,GRAN YOMASA,2
102405,PEPINITOS,9
005632,BOCHICA,9
205402,EL CHARCO,1
005110,EL SALITRE,1
103206,PENALISA,0
109114,TUNAL BAJO,5
007102,SANTA TERESITA,6
105317,SAN BERNARDINO RURAL,6
002406,SAMORE,10
009105,PRADO PINZON,0
