"",10001
"Belmira",10002
"Las_Acacias",10003
"Carmen del Sol I Sector",10004
"Urb. Furatena",10005
"Chapinero Occidental",10006
"Los Libertadores Sector San Ignacio",10007
"La Arboleda II",10008
"El Mirador Sector Molinos del Sur",10009
"Callejón de Santa Bárbara Sur",10010
"La Alquería",10011
"El Salitre Sector Luís Maria Fernández",10012
"Chaparral",10013
"Bosque de los Pinos",10014
"El Tintal - Santa Helena",10015
"Barrancas II Sector",10016
"Dorado Norte",10017
"Florida - Panamericano",10018
"Santa Clara",10019
"Ciudad Montes III Sector",10020
"La Playa 2",10021
"Urb. La Chocita",10022
"Diana Turbay",10023
"Sidel - Terrazas de Oriente",10024
"Bellavista Los Pantanos",10025
"Bavaria Techo II Sector",10026
"S.C. Nuevo Techo",10027
"Ciudad de Cali",10028
"Carvajal II",10029
"Urb. Catalina",10030
"Villas de Kennedy",10031
"Villas de Kennedy II",10032
"Corabastos",10033
"La_Maria",10034
"Gran Britalia",10035
"Parque El Tunal",10036
"Castilla la Nueva",10037
"Alférez Real",10038
"El Vergel La Promesa",10039
"Bosconia",10040
"Villa Emilia - Amparo II Sector",10041
"Villa de la Torre II",10042
"Pió XII",10043
"S.C. Osorio II - La Magdalena Ciudad Tintal",10044
"El Triángulo Ciudad Techo",10045
"El Patio III Sector",10046
"Lucerna",10047
"Jazmín Occidental",10048
"Jacqueline",10049
"Perpetuo Socorro",10050
"San Martín de Porres I",10051
"S C. La Paz Bosa",10052
"Villa Clemencia Sector Tierra Grata",10053
"Vegas de Santa Ana",10054
"Floralia II Sector",10055
"Catalina",10056
"Kennedy Supermanzana 6 A",10057
"Floralia I Sector",10058
"Las Amercias Occidental I",10059
"Las Americas La Triguera",10060
"Calandaima",10061
"Villa del Río II Sector",10062
"S.C La Paz Bosa",10063
"San José II Sector",10064
"Caldas",10065
"S.C. Osorio Diez",10066
"Villa Natalia",10067
"Holanda Sector Caminito",10068
"Santa_Isabel",10069
"S.C. Los Laureles",10070
"Villa Estella",10071
"San Juanito",10072
"Urb. La Avenida",10073
"San Eugenio II",10074
"Kasay de los Venados 2",10075
"Los Arrayanes Suba Naranjos",10076
"Niza Suba - San Tadeo San Lorenzo",10077
"Villa Maria I Sector",10078
"El Porvenir Norte",10079
"La Victoria Oriental",10080
"San Francisco Parte Alta",10081
"Coasmedas",10082
"Urb. Torres de Suba",10083
"La_Esperanza",10084
"Tibabuyes II Sector 2",10085
"Niza Suba - Los Palos",10086
"Rincón de Britalia",10087
"S.C. Atenas",10088
"S.C Atenas",10089
"Rodrigo Lara Bonilla",10090
"Taguay",10091
"S.C Prado Veraniego Norte",10092
"S.C. Las Villas",10093
"Tuna Alta Sector Pedregal",10094
"Quintas de Ipanema",10095
"Urb. Eucaliptos de la Colina",10096
"Floresta del Sur",10097
"Nueva Marsella II Sector",10098
"Pió X - Urb. El Carmen",10099
"Pió X",10100
"El Tintal",10101
"Villa Mary",10102
"Muzu_",10103
"Centro Administrativo",10104
"Polo Club",10105
"S.C. Marco Fidel Suárez I",10106
"La Paz_",10107
"San Agustín",10108
"El Carmen Tuna Baja",10109
"Porvenir Parcela 33",10110
"La Almeria",10111
"Urb. Cerros del Tabor",10112
"Urb. Arcos de Cantalejo",10113
"Los Álamos - Parque Industrial El Dorado",10114
"Linterama",10115
"San Vicente Sur Oriental",10116
"La Gran Colombia",10117
"S.C. Canadá o Guira",10118
"El Ruby",10119
"Almonacid",10120
"San_Joaquín",10121
"S.C. La Estación Bosa",10122
"Villa Nhora",10123
"Urb. Batavia",10124
"Nueva Granada II Sector Tiboli",10125
"Holanda III Sector",10126
"La Isabela I Etapa",10127
"Los Álamos - Urb. Avianca",10128
"S.C. Bosque Popular",10129
"Las Ferias",10130
"Miramar",10131
"Bosques de Mariana",10132
"S.C. Altamira",10133
"Bochica I y II Sector",10134
"Bolivia Oriental III Etapa",10135
"El Ramajal San Pedro",10136
"Urb. Iberia",10137
"Arcos de Britalia",10138
"Los Portales del Norte II",10139
"Portales del Norte Marbella",10140
"Britalia",10141
"Tuna Baja III y III_A",10142
"Villa_Esperanza",10143
"Cedritos",10144
"S.C. La Carolina",10145
"Urb. Tanque de Santa Lucia",10146
"Terrazas de San Jorge",10147
"Galerías",10148
"Nuevo Muzu II Sector 1 A Etapa",10149
"Venecia",10150
"Country Club",10151
"El Moral",10152
"Babilonia",10153
"S.C Arboleda Sur",10154
"Costa Rica La Esperanza",10155
"Ciudad Cooperativa La Libertad",10156
"Balmoral Norte",10157
"El Verbenal II Sector",10158
"Maranta I y II y III Sector",10159
"Cedro Norte",10160
"Urb. Torres de Madeira",10161
"Santa Cecilia Baja",10162
"Benjamín Herrera",10163
"Urb. Los Eliseos",10164
"S.C. Bellavista",10165
"S.C. Granjas de San Pablo",10166
"S.C. San Agustín",10167
"La Portada III Sector",10168
"El Portugal Brasil",10169
"Argelia II",10170
"San Martín",10171
"Danubio II y III",10172
"S.C Parcela El Porvenir",10173
"San_Pablo",10174
"Santiago III",10175
"Veracruz II Sector",10176
"S.C. Brisas Aldea Fontibón",10177
"S.C. Los Álamos",10178
"Granjas de San Pablo",10179
"S.C Julio Florez",10180
"Ciudad Bachue II Etapa",10181
"Villa Cristina",10182
"S.C Santa Teresa de Suba",10183
"La Reconquista",10184
"Franco",10185
"Sabanalarga",10186
"Arboleda Sur",10187
"Country Comodoro",10188
"San_Isidro",10189
"Ospina Pérez",10190
"El Tapete",10191
"Urb. Arabia",10192
"Suramérica",10193
"Santa Mónica",10194
"S.C. La Salle",10195
"La Macarena",10196
"Pablo VI Etapa II",10197
"Biblioteca Virgilio Barco",10198
"Urb. Picadelly",10199
"La Pepita Norte",10200
"La Perseverancia",10201
"Urb. Parque Empresarial Santa Helena",10202
"Torres de Centenario",10203
"Puente Aranda",10204
"El Cerro Parte Baja (Villa Nydia)",10205
"Santa Cecilia Parte Baja",10206
"Prados de Salitre II",10207
"El Tablón",10208
"Morumbi",10209
"S.C. San Cristóbal Sur",10210
"Baquero",10211
"Popular Modelo",10212
"Gran América",10213
"Ortezal Cádiz",10214
"Piamonte Occidental",10215
"Quinta Paredes",10216
"Florida",10217
"Primavera Norte - San Francisco",10218
"Macondo El Carmen",10219
"Avenida Caracas",10220
"El Salitre Parte Alta",10221
"La Aurora",10222
"Sauces II",10223
"S.C. Santa Fe Bosa",10224
"Urb. Caldas",10225
"S.C. La Independencia",10226
"La Azucena Sector El Triángulo",10227
"Niza Suba - Pino Alto",10228
"Porvenir",10229
"S.C. Ciudad Jardín Norte",10230
"Villa Cecilia",10231
"Gustavo Restrepo",10232
"Santa Rita de Suba",10233
"Jardines del Cabo",10234
"Java II Sector",10235
"Santa Mónica",10236
"Villa del Campo II Sector",10237
"S.C. San José Sur",10238
"Fundación Hospital San Carlos",10239
"Julio Florez - Urb. Ingrura",10240
"Alejandría",10241
"Niza Suba - Los Eucaliptos",10242
"S.C. Granada Norte",10243
"Villa El Dorado Norte",10244
"El_Encanto",10245
"Los Álamos - Urb. Industrial Parayas",10246
"Condominio Álamos",10247
"Eduardo Santos",10248
"El_Lucero",10249
"Quirigua Central",10250
"Villa Gladys IV Sector",10251
"Nuevo Milenio (En Tramite)",10252
"Los Arrayanes",10253
"La_Estanzuela",10254
"La Libertad IV Etapa",10255
"La Libertad Sector Magnolia",10256
"San Luís I y II",10257
"S.C. La Paz Bosa",10258
"SC. La Paz Bosa",10259
"La Vega De San Bernardino Bajo",10260
"San Pablo II Sector",10261
"Nueva Granada",10262
"San Bernardino Sector II",10263
"Urb. Los Hayuelos",10264
"Villa Anni Bosa Naranjos",10265
"El Llano Sector Fandino",10266
"Kasandra",10267
"Brasil Sector San Jorge",10268
"Villa Alegre",10269
"La Esmeralda_",10270
"El Paraíso__",10271
"Danubio III",10272
"Urb. San Alejo",10273
"La Chucua I Sector",10274
"El Pinar de Suba",10275
"Finca El Arrayán San Jacinto - Tibabuyes",10276
"Potosí",10277
"Ciudad Jardín Norte - Villas de Covaria",10278
"Urb. Iberia III Sector",10279
"San José Oriental",10280
"San Blass II Sector",10281
"Torres de Gratamira",10282
"Palermo Sur Los Arrayanes",10283
"Alquería de la Fragua",10284
"Santa Bárbara Alta",10285
"S.C San Cristóbal Sur",10286
"Ilarco - Los Molinos de Ilarco",10287
"Desarrollo Metropolitan Club",10288
"Bosque de Pinos III",10289
"Las Lomas",10290
"Tunalito",10291
"Urb. Portal Real",10292
"Villa Carolina",10293
"Alicante I y II",10294
"S.C. El Playón",10295
"San_Miguel",10296
"Los Alcázares - Urb. Supercenter",10297
"La Floresta (Hacienda)",10298
"San Martín (Villa Neiza)",10299
"El Molino",10300
"Las Torres del Royal",10301
"Gorgonzola",10302
"El Carmen Fontibón",10303
"La Resurrección IV Sector",10304
"Avenida Décima II Sector",10305
"S.C. Bellavista Occidental",10306
"El Triunfo Sur",10307
"Las Lomas - Mirador de Santa Sofía",10308
"El Alto de las Brisas II",10309
"Camino Viejo de San Cristóbal",10310
"El_Jardín",10311
"Santa Bárbara Central I y II",10312
"S.C Villa Carmenza",10313
"Flandes",10314
"Los Laureles Sur Oriental II Sector",10315
"Santa Ana Sur",10316
"Buenos Aires II Sector",10317
"San Luís",10318
"S.C. El Carmen Fontibón",10319
"Cantalejo",10320
"Providencia Alta",10321
"San_Felipe",10322
"San_Martín",10323
"Rincón del Puente - Quinta Catania",10324
"Ciudad Kennedy Norte Supermanzana 9 A",10325
"Castilla Real - Santa Maria de los Ángeles",10326
"Arenera Buenavista",10327
"Metrópolis",10328
"Entrerios - Urb. Alma Industrial",10329
"S.C. La Patria - Barrio San Martín",10330
"S.C. Bosque de Pinos",10331
"Concepción Norte",10332
"Urb. El Paraíso",10333
"Los Bohíos de Hunza III Sector",10334
"Prados de Suba",10335
"Galán - El Portal del Castillo",10336
"Remanso Sur",10337
"Urb. Aragón",10338
"El Regreso",10339
"El Encanto",10340
"Los Chircales",10341
"Tibana II Sector - Parques de Primavera",10342
"Cerros de Oriente",10343
"Pinos de Lombardia",10344
"El Redil",10345
"La Picota",10346
"S.C. Engativa El Dorado",10347
"San Ignacio",10348
"El Encanto - Urb. Los Nogales",10349
"El Cerrito (Lote)",10350
"Niza Suba - Urb. Ancadam",10351
"Britalia San Diego 2",10352
"Camino Viejo",10353
"S.C. Santiago Pérez",10354
"Suba Naranjos San Carlos (Predio)",10355
"Bosque de San Carlos",10356
"La Capilla de Suba",10357
"Urb. Los Arrayanes",10358
"Bogotano I Sector",10359
"Urb. Montevideo 1a. Etapa",10360
"S.C. San Norte",10361
"La_Primavera",10362
