fips,unemp
004575,1
006524,9
102502,0
005501,0
009240,3
007208,4
101201,9
004104,3
003102,0
002568,10
001424,2
003108,3
005509,1
005622,2
004586,0
103205,1
102122,6
005682,2
209106,10
103107,4
103108,0
008507,7
001206,7
002570,6
108109,9
104102,3
002444,9
001116,4
007203,6
009228,9
104114,0
009141,8
108103,2
001331,10
004102,1
101502,10
104131,1
005506,5
007405,8
102114,6
001349,10
102707,5
004540,4
002106,6
004301,0
007306,7
005113,0
004206,1
104110,1
208103,6
102111,6
107106,4
001202,1
008530,0
005111,2
204104,9
001102,3
008314,8
008424,0
004572,4
009121,9
008306,1
004507,1
006312,1
006532,7
006406,5
109104,4
004111,6
006202,7
005602,4
009125,2
001201,2
009246,4
009243,0
006408,10
001114,2
001323,7
001303,0
001352,6
004617,2
103101,5
103203,5
103202,9
004560,5
006528,0
002506,0
102405,9
005632,5
205402,10
005110,5
103206,4
109114,3
007102,8
105317,7
002406,10
009105,3
205320,0
004511,8
201502,10
006302,3
008419,3
002599,9
102911,2
006204,9
102118,9
004512,6
007407,7
005673,0
001353,7
004103,3
005670,3
208101,10
009208,8
006529,2
004503,8
102115,1
004408,9
104104,1
006208,2
005607,4
004527,4
005619,7
101405,9
005631,5
004308,4
205316,10
002620,6
002101,0
005660,8
005620,5
005505,8
004531,6
104107,1
005507,1
008309,10
101101,2
006419,6
007307,2
006527,7
104112,3
104108,10
102808,9
104113,10
102112,7
102909,4
102910,8
005404,8
008315,8
009201,7
102310,10
004305,1
005202,6
005206,1
101301,6
005658,3
105402,1
009232,0
001320,5
001329,10
006215,1
006306,4
004537,1
004564,10
004615,8
009239,3
004541,4
009250,5
004317,1
004212,4
009140,0
009138,7
002209,6
008524,3
006511,3
001108,3
005609,2
007205,1
107111,10
002202,8
002508,0
001418,6
008105,4
003107,0
004208,6
108104,3
202404,5
003101,3
008523,9
002598,9
103201,9
008101,2
004209,4
008528,7
108112,4
001417,5
004569,3
008529,6
101103,5
007104,4
202506,2
201404,7
004592,7
004407,8
008539,1
004105,10
008313,0
005503,4
003109,10
109106,10
006410,0
004548,6
001405,7
101306,9
103106,7
008501,2
103105,0
002505,1
103204,5
002572,8
007207,6
002555,0
008522,9
007311,0
007303,6
006315,2
004508,8
001423,0
004609,1
004613,7
002510,10
204106,1
204107,5
103102,3
109105,1
108101,7
107101,4
006504,7
004574,7
109112,2
109113,9
109107,3
109103,9
104128,9
109101,1
109102,1
007304,2
102110,4
005107,2
002522,10
004619,2
205308,5
004591,10
004638,7
004641,6
008212,7
002440,4
101309,5
105314,2
009209,6
009131,6
008525,7
009119,3
009104,5
102113,8
002596,10
104129,7
109111,9
109116,6
109110,4
004576,7
009260,7
005615,6
