code,localidad
639,Usaquén
640,Usaquén
660,Rafael Uribe
665,Usaquén
681,Teusaquillo
733,San Cristóbal
738,Rafael Uribe
761,Rafael Uribe
764,Rafael Uribe
765,Puente Aranda
786,Engativá
814,Usaquén
826,Usaquén
830,Kennedy
833,Usaquén
839,Usaquén
876,Teusaquillo
881,Teusaquillo
896,Puente Aranda
911,Rafael Uribe
926,None
931,Rafael Uribe
937,San Cristóbal
962,Fontibón
964,Kennedy
966,Kennedy
970,Kennedy
985,Kennedy
1003,Kennedy
1006,Kennedy
1014,Kennedy
1016,Kennedy
1025,Kennedy
1029,Kennedy
1034,Tunjuelito
1036,Kennedy
1050,Kennedy
1056,Kennedy
1063,Kennedy
1072,Kennedy
1073,Kennedy
1080,Kennedy
1082,Kennedy
1097,Kennedy
1099,Kennedy
1108,Kennedy
1113,Kennedy
1114,Kennedy
1117,Kennedy
1118,Kennedy
1119,Kennedy
1180,Kennedy
1182,Kennedy
1193,Kennedy
1207,Kennedy
1221,Kennedy
1222,Kennedy
1258,Kennedy
1264,Kennedy
1271,Kennedy
1729,Bosa
1736,Bosa
1737,Bosa
1742,Bosa
1748,Bosa
1753,Bosa
1817,Bosa
1822,Bosa
1840,Bosa
1869,Bosa
1877,Bosa
1896,Bosa
1910,Bosa
1928,Bosa
1947,None
1954,None
1971,None
2018,None
2028,None
2033,None
2035,None
2045,None
2073,None
2086,None
2101,None
2111,None
2114,None
2121,None
2151,None
2162,None
2188,None
2199,None
2211,None
1309,Kennedy
1332,None
1224,Kennedy
1240,Kennedy
1244,Kennedy
1245,Kennedy
1281,Kennedy
154,Engativá
167,Tunjuelito
208,Candelaria
216,Barrios Unidos
218,Rafael Uribe
223,Rafael Uribe
225,Rafael Uribe
265,None
277,Bosa
299,None
305,None
320,None
331,Engativá
398,Engativá
416,San Cristóbal
420,San Cristóbal
439,San Cristóbal
476,None
477,None
1633,Bosa
1636,Bosa
1640,Bosa
507,Fontibón
1652,Bosa
1667,Bosa
530,Engativá
531,Engativá
534,Engativá
537,Engativá
541,None
545,Engativá
560,San Cristóbal
561,Engativá
565,Engativá
578,San Cristóbal
2354,None
2358,None
2361,None
2362,None
2363,None
2373,None
2389,None
641,Usaquén
2407,Usaquén
672,Rafael Uribe
675,Rafael Uribe
683,Teusaquillo
687,Tunjuelito
692,Tunjuelito
2451,Usaquén
2471,Usaquén
2474,Usaquén
746,Rafael Uribe
1363,None
791,Usaquén
793,Usaquén
795,Usaquén
805,Usaquén
832,Usaquén
838,Usaquén
842,Usaquén
858,Barrios Unidos
864,None
870,Chapinero
897,Rafael Uribe
925,Rafael Uribe
1756,Bosa
1758,Bosa
1764,Bosa
1791,Bosa
1819,Bosa
1821,Bosa
1830,Bosa
504,Fontibón
514,Fontibón
525,Fontibón
532,Engativá
3107,Rafael Uribe
539,Engativá
547,Engativá
555,Engativá
557,Engativá
604,Rafael Uribe
637,Fontibón
645,Usaquén
649,Rafael Uribe
652,Usaquén
3222,San Cristóbal
3223,Puente Aranda
3229,Fontibón
3235,Fontibón
724,San Cristóbal
3253,Usaquén
3256,Chapinero
3266,Santa Fe
777,Teusaquillo
779,Teusaquillo
796,None
799,Usaquén
3268,Santa Fe
3280,Fontibón
3281,Fontibón
3292,Puente Aranda
840,Usaquén
844,Usaquén
3314,Teusaquillo
3324,San Cristóbal
3326,None
3338,San Cristóbal
855,Barrios Unidos
867,Barrios Unidos
878,Teusaquillo
883,Teusaquillo
886,Kennedy
887,Teusaquillo
889,Los Mártires
892,Puente Aranda
918,Rafael Uribe
919,Rafael Uribe
3450,None
1770,Bosa
1782,Bosa
1833,Bosa
1835,Bosa
1882,Bosa
1913,Bosa
3478,None
3490,Engativá
2090,None
2093,None
3502,Rafael Uribe
2104,None
2117,None
2143,None
3504,Rafael Uribe
3507,None
3508,Rafael Uribe
3510,Rafael Uribe
3513,Engativá
3514,Engativá
3525,None
3538,None
391,Engativá
409,San Cristóbal
333,Engativá
334,Engativá
336,Los Mártires
356,Engativá
375,Engativá
393,Engativá
397,Engativá
1548,None
1578,Bosa
1581,Bosa
1592,Bosa
1595,Bosa
1600,Bosa
1605,Bosa
1616,Bosa
1624,Bosa
1626,Bosa
1630,Bosa
482,Fontibón
1649,Bosa
1650,Bosa
521,Fontibón
1668,Bosa
1670,Bosa
1691,Bosa
1695,Bosa
1697,Bosa
2294,None
2303,None
2320,None
2337,None
2348,None
2352,None
2353,None
580,San Cristóbal
584,San Cristóbal
588,San Cristóbal
597,Rafael Uribe
2397,Kennedy
655,Usaquén
668,San Cristóbal
2409,None
2422,Chapinero
2447,Usaquén
698,Rafael Uribe
710,Tunjuelito
719,San Cristóbal
745,Rafael Uribe
2479,Usaquén
750,Rafael Uribe
757,Rafael Uribe
766,Barrios Unidos
1382,None
3006,Rafael Uribe
3009,None
3016,Engativá
3044,Puente Aranda
3056,Fontibón
3096,Rafael Uribe
3104,Rafael Uribe
536,Engativá
3108,Rafael Uribe
3109,Rafael Uribe
3120,San Cristóbal
3124,San Cristóbal
3127,Usaquén
3148,Usaquén
3157,Fontibón
3164,Fontibón
3185,San Cristóbal
3208,San Cristóbal
679,San Cristóbal
682,Teusaquillo
3236,Fontibón
725,None
752,Rafael Uribe
768,Barrios Unidos
3267,Santa Fe
800,Usaquén
804,Kennedy
817,Kennedy
820,Usaquén
3302,Barrios Unidos
3303,Barrios Unidos
3309,Barrios Unidos
849,Usaquén
853,Barrios Unidos
3339,Fontibón
3349,Fontibón
3357,None
3362,Puente Aranda
3367,Puente Aranda
3385,None
3393,None
3399,Engativá
3410,Rafael Uribe
3414,Puente Aranda
3424,Rafael Uribe
3429,None
3437,Usaquén
929,Rafael Uribe
3467,Engativá
3471,Engativá
3472,Engativá
1976,None
2000,None
2016,None
3493,San Cristóbal
3495,Rafael Uribe
2094,None
3503,Rafael Uribe
2174,None
2205,None
341,Fontibón
346,Fontibón
350,Usaquén
354,Engativá
374,Engativá
379,Usaquén
3552,None
3560,None
3573,None
3584,None
3590,None
3591,None
3596,None
3606,Usaquén
3620,Santa Fe
3621,Usaquén
3635,Santa Fe
3641,Usaquén
3655,Kennedy
3658,Chapinero
3660,Chapinero
3677,None
3705,Usaquén
3707,None
3733,Bosa
3742,None
3744,None
3748,None
3750,None
3751,None
3753,None
3760,None
3767,None
3769,None
3771,Antonio Nariño
3776,San Cristóbal
3783,Antonio Nariño
3789,Engativá
3796,Rafael Uribe
3811,Bosa
3825,None
3826,None
3827,None
3836,Antonio Nariño
3837,Antonio Nariño
3842,Antonio Nariño
3853,Antonio Nariño
3854,San Cristóbal
3857,Antonio Nariño
2508,Usaquén
2521,None
2524,Fontibón
2527,Chapinero
2529,Los Mártires
2543,Chapinero
2545,Chapinero
2548,Chapinero
2559,Fontibón
2568,Puente Aranda
2576,Engativá
2578,Santa Fe
2582,San Cristóbal
2583,Chapinero
2605,Fontibón
2614,Barrios Unidos
2621,San Cristóbal
2626,Engativá
2627,San Cristóbal
2636,Engativá
2646,Engativá
2654,Engativá
2680,None
2691,Engativá
2695,Fontibón
2698,San Cristóbal
2700,San Cristóbal
2704,San Cristóbal
2705,San Cristóbal
2745,Engativá
2746,None
2747,None
2765,Chapinero
2768,Chapinero
2782,Engativá
2784,Engativá
2812,Chapinero
2823,Tunjuelito
2860,Fontibón
2862,Teusaquillo
2915,Engativá
2925,Kennedy
2926,Engativá
2937,San Cristóbal
2952,Chapinero
2964,Chapinero
2968,Bosa
2970,Chapinero
2988,Chapinero
2997,None
1754,Bosa
1760,Bosa
1790,Bosa
1795,Bosa
1796,Bosa
1802,None
1803,Bosa
1815,Bosa
1868,Bosa
1897,Bosa
1903,Bosa
1920,Bosa
1932,Bosa
1935,Bosa
1939,Bosa
2012,None
2032,None
2072,None
2091,None
2108,None
2139,None
2149,None
2157,None
2185,None
2192,None
2197,None
2213,None
20,Fontibón
2224,Rafael Uribe
2231,None
2235,None
2255,None
2258,None
2265,None
2269,None
2284,None
42,Usaquén
43,Engativá
50,Fontibón
60,San Cristóbal
71,Teusaquillo
78,Puente Aranda
79,Engativá
82,Kennedy
84,Kennedy
85,Kennedy
92,Rafael Uribe
104,San Cristóbal
109,None
125,Tunjuelito
127,Kennedy
136,Kennedy
146,None
155,Engativá
157,Engativá
159,Engativá
160,Engativá
168,San Cristóbal
185,Bosa
196,Engativá
197,Fontibón
203,Santa Fe
227,Kennedy
236,Bosa
251,Fontibón
263,None
276,Bosa
281,Bosa
290,None
293,None
304,None
310,None
311,San Cristóbal
335,Los Mártires
371,San Cristóbal
373,Engativá
384,Engativá
402,San Cristóbal
404,San Cristóbal
405,San Cristóbal
415,San Cristóbal
436,San Cristóbal
438,San Cristóbal
471,Santa Fe
483,None
